image_id,dimension,modality,within_mean,cross_mean,n_matched_pairs
16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,personality,caption,0.8029837245158212,0.7926263404411779,24
16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,personality,justification,0.657861655646101,0.6421729550959002,24
16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,personality,perception,0.5732890161383702,0.5598241132842026,24
183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,gender,caption,0.8729384037215171,0.8677690969331597,12
183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,gender,justification,0.6721306013508551,0.6614646721171656,12
183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,gender,perception,0.5545992063492063,0.5429294444444445,12
183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,economic_status,caption,0.872938403721517,0.8513780886976797,12
183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,economic_status,justification,0.6721306013508551,0.5671123660464977,12
183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,economic_status,perception,0.5545992063492063,0.4527777777777778,12
183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,political_spectrum,caption,0.8729384037215171,0.8595150173484375,12
183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,political_spectrum,justification,0.6721306013508551,0.612964783080233,12
183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,political_spectrum,perception,0.5545992063492063,0.5288761111111111,12
183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,personality,caption,0.8729384037215171,0.8622028564258536,24
183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,personality,justification,0.6721306013508551,0.5898742964435685,24
183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,personality,perception,0.5545992063492063,0.48465055555555553,24
1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,gender,caption,0.9316917016193064,0.9285065348608194,12
1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,gender,justification,0.7249633318287523,0.7175306771290263,12
1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,gender,perception,0.5553095328047106,0.5450431310546932,12
1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,economic_status,caption,0.9316917016193064,0.9183370579336821,12
1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,economic_status,justification,0.7249633318287522,0.6815311562395605,12
1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,economic_status,perception,0.5553095328047105,0.5359179128252016,12
1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,political_spectrum,caption,0.9316917016193064,0.9270436193062482,12
1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,political_spectrum,justification,0.7249633318287522,0.6618881517202203,12
1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,political_spectrum,perception,0.5553095328047105,0.5309851699404818,12
1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,personality,caption,0.9316917016193061,0.926546984347255,24
1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,personality,justification,0.7249633318287522,0.6716664714811352,24
1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,personality,perception,0.5553095328047105,0.5075148870422748,24
